3459235,114030,2.0
347218,50504,2.0
404761,105896,1.0
1194919,225625,2.0
311745,258440,1.0
4263627,115489,1.0
234676,229688,2.0
1022830,151907,1.0
4697764,114030,2.0
604854,269833,2.0
177469,103550,1.0
12139,260825,1.0
2528421,126955,4.0
348788,107703,1.0
1926246,217656,1.0
7497866,153898,2.0
3447322,180767,2.0
6762,153190,1.0
3716571,65549,1.0
3370811,93196,1.0
2430888,15084,3.0
14905,218049,2.0
7466826,101581,1.0
1071301,39219,2.0
19565,201092,1.0
2738745,240646,2.0
34249,259614,2.0
6111918,12538,2.0
3183061,53948,2.0
626656,233817,2.0
7941875,238042,1.0
2020846,115727,2.0
2262942,224759,2.0
1567768,251036,1.0
145334,169833,2.0
1928101,124578,1.0
480745,217785,2.0
3599433,254641,2.0
3072334,52554,1.0
480745,109123,1.0
403579,153901,1.0
104081,52228,2.0
516645,131562,2.0
325270,116795,1.0
5774677,94740,1.0
276143,96537,2.0
23632,247060,2.0
923,158651,1.0
3904291,155303,3.0
540118,224018,1.0
375898,105855,2.0
382435,51727,2.0
1792837,49238,1.0
614312,95356,3.0
2540211,20233,2.0
2135996,95673,1.0
4133,23212,1.0
1352313,54417,1.0
1308340,240056,1.0
287699,236925,1.0
2178796,194051,1.0
3106778,214297,2.0
6011339,107854,2.0
4055124,236959,1.0
152671,257188,2.0
8042478,126505,1.0
1713821,51637,1.0
7882611,245506,1.0
457063,1959,1.0
1086674,165705,2.0
547494,223250,1.0
75844,158656,2.0
331786,93106,1.0
2488151,262763,4.0
1293502,157137,2.0
7497866,39280,2.0
1877428,236610,2.0
97869,211442,2.0
2011392,252752,2.0
725,250938,2.0
6565132,126404,1.0
7241691,200327,2.0
7952209,67426,1.0
6337533,95806,1.0
158741,122620,2.0
1049042,125926,1.0
8771,152607,2.0
1441272,235796,2.0
22891,247019,1.0
8114083,54200,1.0
235807,154599,1.0
4559911,4614,2.0
640567,96198,2.0
24149,254894,2.0
1233440,237307,1.0
